-2.859434 0.817669 -0.393768
-2.859434 0.884790 -0.201947
-2.790835 1.100563 0.000000
-2.790835 1.081823 0.202228
-2.790835 1.026244 0.397569
-2.790835 0.935717 0.579372
-2.790835 0.813326 0.741444
-2.790835 0.663237 0.878268
-2.790835 0.490563 0.985183
-2.790835 0.301183 1.058549
-2.790835 0.101547 1.095868
-2.790835 -0.101547 1.095868
-2.790835 -0.301183 1.058549
-2.790835 -0.490563 0.985183
-2.790835 -0.663237 0.878268
-2.790835 -0.813326 0.741444
-2.790835 -0.935717 0.579372
-2.790835 -1.026244 0.397569
-2.790835 -1.081823 0.202228
-2.790835 -1.100563 0.000000
-2.790835 -1.081823 -0.202228
-2.790835 -1.026244 -0.397569
-2.790835 -0.935717 -0.579372
-2.790835 -0.813326 -0.741444
-2.790835 -0.663237 -0.878268
-2.790835 -0.490563 -0.985183
-2.790835 -0.301183 -1.058549
-2.790835 -0.101547 -1.095868
-2.790835 0.101547 -1.095868
-2.790835 0.301183 -1.058549
-2.790835 0.490563 -0.985183
-2.790835 0.663237 -0.878268
-2.790835 0.813326 -0.741444
-2.790835 0.935717 -0.579372
-2.790835 1.026244 -0.397569
-2.790835 1.081823 -0.202228
-2.709224 1.288450 0.000000
-2.709224 1.272587 0.201558
-2.709224 1.225389 0.398153
-2.709224 1.148018 0.584944
-2.709224 1.042378 0.757332
-2.709224 0.911072 0.911072
-2.709224 0.757332 1.042378
-2.709224 0.584944 1.148018
-2.709224 0.398153 1.225389
-2.709224 0.201558 1.272587
-2.709224 0.000000 1.288450
-2.709224 -0.201558 1.272587
-2.709224 -0.398153 1.225389
-2.709224 -0.584944 1.148018
-2.709224 -0.757332 1.042378
-2.709224 -0.911072 0.911072
-2.709224 -1.042378 0.757332
-2.709224 -1.148018 0.584944
-2.709224 -1.225389 0.398153
-2.709224 -1.272587 0.201558
-2.709224 -1.288450 0.000000
-2.709224 -1.272587 -0.201558
-2.709224 -1.225389 -0.398153
-2.709224 -1.148018 -0.584944
-2.709224 -1.042378 -0.757332
-2.709224 -0.911072 -0.911072
-2.709224 -0.757332 -1.042378
-2.709224 -0.584944 -1.148018
-2.709224 -0.398153 -1.225389
-2.709224 -0.201558 -1.272587
-2.709224 -0.000000 -1.288450
-2.709224 0.201558 -1.272587
-2.709224 0.398153 -1.225389
-2.709224 0.584944 -1.148018
-2.709224 0.757332 -1.042378
-2.709224 0.911072 -0.911072
-2.709224 1.042378 -0.757332
-2.709224 1.148018 -0.584944
-2.709224 1.225389 -0.398153
-2.709224 1.272587 -0.201558
-2.614981 1.470331 0.000000
-2.614981 1.456021 0.204630
-2.614981 1.413373 0.405278
-2.614981 1.343214 0.598037
-2.614981 1.246911 0.779157
-2.614981 1.126339 0.945110
-2.614981 0.983843 1.092669
-2.614981 0.822198 1.218959
-2.614981 0.644551 1.321524
-2.614981 0.454357 1.398368
-2.614981 0.255320 1.447993
-2.614981 0.051314 1.469435
-2.614981 -0.153691 1.462276
-2.614981 -0.355705 1.426656
-2.614981 -0.550796 1.363267
-2.614981 -0.735165 1.273344
-2.614981 -0.905226 1.158636
-2.614981 -1.057667 1.021377
-2.614981 -1.189522 0.864239
-2.614981 -1.298225 0.690278
-2.614981 -1.381659 0.502883
-2.614981 -1.438200 0.305699
-2.614981 -1.466749 0.102565
-2.614981 -1.466749 -0.102565
-2.614981 -1.438200 -0.305699
-2.614981 -1.381659 -0.502883
-2.614981 -1.298225 -0.690278
-2.614981 -1.189522 -0.864239
-2.614981 -1.057667 -1.021377
-2.614981 -0.905226 -1.158636
-2.614981 -0.735165 -1.273344
-2.614981 -0.550796 -1.363267
-2.614981 -0.355705 -1.426656
-2.614981 -0.153691 -1.462276
-2.614981 0.051314 -1.469435
-2.614981 0.255320 -1.447993
-2.614981 0.454357 -1.398368
-2.614981 0.644551 -1.321524
-2.614981 0.822198 -1.218959
-2.614981 0.983843 -1.092669
-2.614981 1.126339 -0.945110
-2.614981 1.246911 -0.779157
-2.614981 1.343214 -0.598037
-2.614981 1.413373 -0.405278
-2.614981 1.456021 -0.204630
-2.508546 1.645356 0.000000
-2.508546 1.632885 0.202195
-2.508546 1.595661 0.401325
-2.508546 1.534248 0.594371
-2.508546 1.449578 0.778407
-2.508546 1.342934 0.950643
-2.508546 1.215932 1.108469
-2.508546 1.070498 1.249491
-2.508546 0.908837 1.371572
-2.508546 0.733398 1.472862
-2.508546 0.546842 1.551824
-2.508546 0.351996 1.607263
-2.508546 0.151814 1.638337
-2.508546 -0.050669 1.644575
-2.508546 -0.252384 1.625884
-2.508546 -0.450273 1.582545
-2.508546 -0.641336 1.515217
-2.508546 -0.822678 1.424920
-2.508546 -0.991548 1.313022
-2.508546 -1.145388 1.181220
-2.508546 -1.281865 1.031513
-2.508546 -1.398910 0.866168
-2.508546 -1.494748 0.687693
-2.508546 -1.567928 0.498794
-2.508546 -1.617340 0.302333
-2.508546 -1.642235 0.101290
-2.508546 -1.642235 -0.101290
-2.508546 -1.617340 -0.302333
-2.508546 -1.567928 -0.498794
-2.508546 -1.494748 -0.687693
-2.508546 -1.398910 -0.866168
-2.508546 -1.281865 -1.031513
-2.508546 -1.145388 -1.181220
-2.508546 -0.991548 -1.313022
-2.508546 -0.822678 -1.424920
-2.508546 -0.641336 -1.515217
-2.508546 -0.450273 -1.582545
-2.508546 -0.252384 -1.625884
-2.508546 -0.050669 -1.644575
-2.508546 0.151814 -1.638337
-2.508546 0.351996 -1.607263
-2.508546 0.546842 -1.551824
-2.508546 0.733398 -1.472862
-2.508546 0.908837 -1.371572
-2.508546 1.070498 -1.249491
-2.508546 1.215932 -1.108469
-2.508546 1.342934 -0.950643
-2.508546 1.449578 -0.778407
-2.508546 1.534248 -0.594371
-2.508546 1.595661 -0.401325
-2.508546 1.632885 -0.202195
-2.390415 1.812709 0.000000
-2.390415 1.801311 0.202959
-2.390415 1.767261 0.403366
-2.390415 1.710986 0.598700
-2.390415 1.633195 0.786505
-2.390415 1.534865 0.964419
-2.390415 1.417233 1.130206
-2.390415 1.281779 1.281779
-2.390415 1.130206 1.417233
-2.390415 0.964419 1.534865
-2.390415 0.786505 1.633195
-2.390415 0.598700 1.710986
-2.390415 0.403366 1.767261
-2.390415 0.202959 1.801311
-2.390415 0.000000 1.812709
-2.390415 -0.202959 1.801311
-2.390415 -0.403366 1.767261
-2.390415 -0.598700 1.710986
-2.390415 -0.786505 1.633195
-2.390415 -0.964419 1.534865
-2.390415 -1.130206 1.417233
-2.390415 -1.281779 1.281779
-2.390415 -1.417233 1.130206
-2.390415 -1.534865 0.964419
-2.390415 -1.633195 0.786505
-2.390415 -1.710986 0.598700
-2.390415 -1.767261 0.403366
-2.390415 -1.801311 0.202959
-2.390415 -1.812709 0.000000
-2.390415 -1.801311 -0.202959
-2.390415 -1.767261 -0.403366
-2.390415 -1.710986 -0.598700
-2.390415 -1.633195 -0.786505
